|trigger_name|name        |error_radius|time                   |end_time               |trigger_time           |trigger_type|geo_long|geo_lat |localization_source|
|bn210920238 |TGF210920238|     35.4833|2021-09-20 05:40:44.379|2021-09-20 05:43:58.943|2021-09-20 05:42:57.086|TGF         |272.2500| 13.7500|Fermi, GBM FSW     |
|bn210918063 |TGF210918063|     26.0167|2021-09-18 01:28:41.660|2021-09-18 01:38:56.070|2021-09-18 01:30:59.870|TGF         | 10.0833|  6.1167|Fermi, GBM FSW     |
|bn210915165 |TGF210915165|     35.7333|2021-09-15 03:55:08.512|2021-09-15 04:05:22.924|2021-09-15 03:57:27.347|TGF         | 27.7167| -8.6167|Fermi, GBM         |
|bn210914297 |TGF210914297|     31.4833|2021-09-14 07:05:02.308|2021-09-14 07:15:08.528|2021-09-14 07:07:13.494|TGF         |296.8333| 14.0167|Fermi, GBM FSW     |
|bn210914220 |TGF210914220|     26.2333|2021-09-14 05:14:35.962|2021-09-14 05:24:50.375|2021-09-14 05:16:51.229|TGF         |264.0500| 25.4167|Fermi, GBM FSW     |
|bn210913376 |TGF210913376|     30.9333|2021-09-13 08:59:05.893|2021-09-13 09:05:06.348|2021-09-13 09:01:24.872|TGF         |293.3667|  6.4667|Fermi, GBM FSW     |
|bn210909194 |TGF210909194|     30.9167|2021-09-09 04:39:45.177|2021-09-09 04:40:00.537|2021-09-09 04:39:54.313|TGF         |263.4333| 16.3833|Fermi, GBM FSW     |
|bn210904593 |TGF210904593|     31.4500|2021-09-04 14:11:42.359|2021-09-04 14:21:56.768|2021-09-04 14:13:56.777|TGF         |269.0500| 12.8833|Fermi, GBM FSW     |
|bn210825562 |TGF210825562|     90.0000|2021-08-25 13:26:45.024|2021-08-25 13:36:59.435|2021-08-25 13:28:59.923|TGF         | 14.4833|  6.0500|Fermi, GBM         |
|bn210821341 |TGF210821341|     19.8667|2021-08-21 08:09:10.040|2021-08-21 08:19:16.259|2021-08-21 08:11:21.786|TGF         |148.5667| -4.3167|Fermi, GBM         |
|bn210821332 |TGF210821332|     26.1333|2021-08-21 07:56:26.603|2021-08-21 08:04:54.516|2021-08-21 07:58:39.565|TGF         |107.5500| 15.4833|Fermi, GBM FSW     |
|bn210817705 |TGF210817705|     26.0667|2021-08-17 16:53:32.170|2021-08-17 17:03:46.581|2021-08-17 16:55:48.924|TGF         | 21.5167|  7.1500|Fermi, GBM         |
|bn210813792 |TGF210813792|     31.3667|2021-08-13 18:58:25.747|2021-08-13 19:08:40.157|2021-08-13 19:00:39.541|TGF         |276.6667| 22.7667|Fermi, GBM FSW     |
